"disease" "fee" "group" "count" "avg"
"4232" "沙门氏菌性脑膜炎" 4148481.12 2820363.71 803 5166.22804483188
"6042" "老年性白内障 NOS" 4086220.4 2253875.82 615 6644.26081300813
"976" "冠状动脉供血不足" 4075517.91 3135561.73 986 4133.38530425963
"553" "乳腺恶性肿瘤，上部" 4031449.64 2641478.21 319 12637.7731661442
"6923" "胃溃疡" 4030631.08 2743120.08 745 5410.24306040268
"2948" "心律失常" 4022035.48 2633807.1 308 13058.5567532468
"5069" "皮炎" 3991209.55 2583275.69 694 5751.02240634006
"415" "中风病" 3989795.3 2936741.87 300 13299.3176666667
"3637" "慢性鼻窦炎" 3964933.5 2558275.19 449 8830.5868596882
"6475" "股骨头缺血性坏死" 3951734.54 2225410.43 237 16673.9854008439
"9345" "颈椎间盘脱出" 3947230.11 2848886.99 819 4819.57278388278
"7778" "腹股沟斜疝(单侧)" 3939046.54 2617228.21 690 5708.76310144928
"3380" "感冒" 3921863.52 2796176.9 1349 2907.2375982209
"8093" "良性高血压" 3900289.77 2356304.48 331 11783.3527794562
"7591" "腔隙性脑梗死" 3849532.41 2517297.7 339 11355.5528318584
"7350" "脊髓型颈椎病" 3815097.64 2666665.73 659 5789.22251896813
"7765" "腹泻" 3804902.06 2603211.8 578 6582.87553633218
"6544" "肩周炎" 3763231.88 2790203.56 724 5197.83408839779
"3610" "慢性阻塞性支气管炎" 3755905.05 2706775.88 175 21462.3145714286
"1671" "咯血" 3750123.65 2597274.41 425 8823.82035294118
"9781" "髌骨骨折" 3714348.59 2443854.91 398 9332.53414572864
"6773" "肾功能不全" 3710380.6 2920942.65 159 23335.7270440252
"2424" "子宫腺肌病" 3691622.41 1988321.99 238 15511.0185294118
"3154" "急性扁桃体炎" 3683818.58 2384555.97 1479 2490.74954699121
"7431" "脑梗死后遗症" 3663811.58 2689262.8 492 7446.77150406504
"2672" "尿道感染" 3643195.48 2533010.51 1227 2969.18947025265
"4264" "泌尿道感染" 3635205.11 2488808.82 902 4030.16087583149
"6159" "肋骨骨折" 3597954.09 2443851.27 552 6518.03277173913
"1316" "半月板损伤" 3582540.92 2218510.75 282 12704.0458156028
"9662" "骨质疏松伴病理性骨折" 3573321.49 2100388.4 114 31344.9253508772
"5208" "直肠息肉" 3562689 2383944.89 481 7406.83783783784
"3495" "慢性浅表性胃炎" 3550237.74 2485967.22 727 4883.40817056396
"3238" "急性胃炎" 3542520.12 2449954.24 1193 2969.42172673931
"6240" "肛瘘" 3497820.3 2372242.85 669 5228.43094170404
"3547" "慢性肺源性心脏病" 3469960.44 2629387.69 560 6196.35792857143
"7491" "脑血管供血不足" 3456322.57 2540278.82 956 3615.40017782427
"8111" "荨麻疹" 3421184.75 2213612.97 732 4673.74965846995
"6474" "股骨头无菌性坏死" 3415903.88 1816031.81 176 19408.5447727273
"3903" "支气管哮喘" 3404848.08 2451601.73 732 4651.43180327869
"7389" "脑卒中[中风]" 3398084.57 2426896.81 252 13484.4625793651
"7142" "胫骨骨折" 3394530.6 2035837.01 230 14758.8286956522
"1789" "器质性精神障碍" 3393858.22 2362392.95 147 23087.4708843537
"6631" "肺原位癌" 3370276.68 2391557.5 219 15389.3912328767
"7697" "腰痛 NOS" 3355401.79 2324383.49 605 5546.11866115702
"6808" "肾恶性肿瘤" 3339521.17 2430104.48 186 17954.4148924731
"7688" "腰椎间盘突出手术" 3327229.8 2172354.62 225 14787.688
"8196" "蛛网膜下腔出血" 3046189.23 1785277.93 98 31083.5635714286
"958" "内痔" 2995731.68 1941577.82 492 6088.88552845528
"840" "关节炎(病) NOS" 2987469.42 2023385.45 336 8891.27803571429
"566" "乳腺肿瘤" 2951589.18 1573355.9 238 12401.635210084
"6774" "肾功能异常" 2945064.62 2070640.87 180 16361.4701111111
"9592" "食道癌切除个人史" 2900767.62 2062045.86 302 9605.19079470199
"6648" "肺恶性肿瘤个人史" 2879471.45 2161917.57 164 17557.7527439024
"1221" "动脉瘤" 2843926.93 1468380.03 42 67712.545952381
"3212" "急性肠炎" 2833584.09 1878721.69 879 3223.64515358362
"2752" "帕金森病" 2800408.28 1997061.51 274 10220.4681751825
"3910" "支气管扩张" 2793175.74 1961662.19 352 7935.15835227273
"8843" "锁骨骨折" 2775235.36 1640664.7 266 10433.2156390977
"6995" "胆囊息肉" 2762853.69 1693571.47 409 6755.14349633252
"2268" "女性盆腔炎" 2758771.48 1741407.11 1023 2696.74631476051
"5213" "直肠恶性肿瘤史" 2729974.9 1967434.42 173 15780.201734104
"9119" "青光眼" 2702042.78 1682149.74 493 5480.8169979716
"3193" "急性盆腔炎" 2653228.36 1741164.12 1084 2447.62763837638
"3920" "支气管炎，未特指为急性或慢性" 2607777.49 1914612.12 1025 2544.17316097561
"1376" "卵巢囊肿" 2594653.19 1533203.18 378 6864.16187830688
"6643" "肺心病" 2589416.22 1920639.31 239 10834.3774895397
"3856" "损伤" 2537031.5 1558576.77 147 17258.7176870748
"5585" "类风湿性关节炎" 2531251.29 1824149.56 379 6678.76329815303
"8889" "阑尾炎" 2525144.69 1562320.9 380 6645.11760526316
"2227" "头部外伤" 2513085.23 1566785.94 409 6144.46266503667
"7430" "脑梗死个人史" 2507232.77 1791865.3 200 12536.16385
"1507" "发热，不明原因" 2501393.34 1796809.84 515 4857.07444660194
"3804" "抑郁症" 2499708.46 1616048.57 361 6924.40016620499
"6256" "肛裂" 2493608.01 1702127 616 4048.0649512987
"9338" "颈椎间盘疾患" 2491041.46 1750766.31 497 5012.15585513078
"6936" "胃痛" 2475865.97 1731025.61 271 9136.0367896679
"7681" "腰椎退行性病变" 2458131.93 1842095.76 515 4773.07170873786
"3926" "支气管肺炎" 2394605.91 1713463.27 784 3054.34427295918
"3148" "急性心肌梗死" 2392840.41 1725123.48 115 20807.3079130435
"7684" "腰椎间盘疾患，伴有神经根病" 2371314.93 1796387.16 598 3965.4095819398
"6737" "肺良性肿瘤" 2370088.01 1770096.01 78 30385.7437179487
"2" "1型糖尿病" 2335137.96 1545944.36 295 7915.72189830508
"6729" "肺肿物" 2327198.13 1555281.64 119 19556.2868067227
"3905" "支气管哮喘，非危重" 2318819.88 1624842.18 333 6963.42306306306
"2418" "子宫肌瘤手术" 2313547.93 1359240.55 270 8568.69603703704
"8411" "贫血 NOS" 2309982.35 1541225.33 266 8684.14417293233
"5010" "癫痫" 2296683.37 1448051.05 199 11541.1224623116
"5502" "神经炎" 2296455.82 1515260.38 229 10028.1913537118
"6852" "肾积水伴肾结石" 2279704.52 1315724.25 251 9082.48812749004
"1723" "哮喘" 2269059.15 1627670.73 315 7203.36238095238
"5889" "结肠炎" 2260580.87 1565954.22 327 6913.09134556575
"1650" "呼吸困难" 2231935.64 1610314.03 186 11999.6539784946
"7016" "胆囊结石伴特指胆囊炎" 2230459.57 1309813.54 151 14771.2554304636
"1749" "喉恶性肿瘤" 2223988.57 1547840.29 110 20218.0779090909
"6876" "肾衰竭" 2213783.63 1529223.29 136 16277.8208088235
"9815" "高血压性心脏病" 2204105.68 1629839.37 437 5043.72009153318
"284" "下肢静脉曲张" 2201915.97 1472236.58 259 8501.60606177606
"6596" "肱骨头无菌性坏死" 2195625.47 1111348.5 53 41426.8956603774
"7174" "胰腺炎" 2187825.01 1513909.05 250 8751.30004
"7171" "胰腺恶性肿瘤" 2179704.6 1572915.42 80 27246.3075
"3341" "恶性肿瘤" 2176331.44 1590287.48 206 10564.7157281553
"9898" "鼻中隔偏曲" 2156014.25 1347841.23 292 7383.61044520548
"7013" "胆囊结石伴急性胆囊炎" 2151724.41 1332355.25 254 8471.35594488189
"6646" "肺恶性淋巴瘤 (M95900/3)" 2149790.43 1488980.69 108 19905.4669444444
"4098" "梗阻性黄疸" 2131409.46 1379639.92 80 26642.61825
"9803" "高血压1级" 2101879.12 1495235.14 403 5215.58094292804
"7015" "胆囊结石伴慢性胆囊炎" 2099974.58 1281865.63 332 6325.22463855422
"9565" "食管癌病" 2096298.96 1235742.53 86 24375.5693023256
"6912" "胃息肉" 2081520.94 1360384.17 268 7766.86917910448
"6938" "胃癌病" 2058729.25 1344051.42 105 19606.9452380952
"4195" "气管支气管炎" 2051244.64 1456380.04 535 3834.10213084112
"7904" "膀胱恶性肿瘤" 2038845.23 1395747.81 134 15215.2629104478
"9507" "风湿性关节炎" 2013245.42 1438462.63 307 6557.80267100977
"9808" "高血压Ⅲ" 2001854.68 1444469.06 423 4732.51697399527
"6614" "肺不典型增生" 1994629.57 1210629.16 104 19179.1304807692
"407" "中耳炎" 1976248.52 1282247.07 350 5646.42434285714
"807" "全心衰竭" 1975213.36 1386933.3 182 10852.8206593407
"3927" "支气管肺炎(小叶性肺炎 )" 1966943.52 1401035.1 817 2407.51960832313
"3068" "急性冠脉综合征" 1933270.46 1395949.98 74 26125.2764864865
"4132" "椎管狭窄" 1928680.68 1115431.41 79 24413.6794936709
"5586" "类风湿性关节炎 NOS" 1912652.65 1414153.16 458 4176.09748908297
"4996" "癌 NOS" 1898052.47 1322302.44 263 7216.92954372624
"7077" "胆管结石伴胆囊炎" 1895671.22 1212235.47 207 9157.83198067633
"4335" "消化不良" 1878287.26 1173738.49 109 17231.9932110092
"721" "便血" 1878016.53 1308419.25 212 8858.56853773585
"5234" "直肠肿瘤" 1872590.69 1194562.42 78 24007.5729487179
"3190" "急性白血病" 1870137.29 1083263.42 39 47952.2382051282
"7428" "脑梗塞后遗症" 1865496.9 1467111.91 379 4922.15540897098
"7378" "脑出血后遗症" 1861198.6 1358827.48 199 9352.7567839196
"1423" "原发性双侧膝关节病" 1852151.54 1293730.98 306 6052.78281045752
"9170" "非霍奇金淋巴瘤" 1847952.35 1041429.06 117 15794.4645299145
"459" "乙状结肠恶性肿瘤" 1846679.6 1164369.58 90 20518.6622222222
"7707" "腰腿痛病" 1844207.2 1323490.31 218 8459.66605504587
"6777" "肾功能衰竭" 1843298.56 1223208.38 107 17227.0893457944
"8217" "血小板减少症" 1834802.58 1214568.94 115 15954.8050434783
"2786" "并发性白内障" 1833207.77 908737.16 257 7133.10416342412
"3996" "晕厥和虚脱" 1831554.64 1267129.55 160 11447.2165
"4962" "痛风 NOS" 1831182.58 1315663.73 673 2720.92508172363
"3020" "心衰病" 1825775.07 1261197.9 115 15876.3049565217
"722" "便血病" 1821051.85 1258981.1 109 16706.897706422
"4203" "气胸" 1820994.96 1212137.45 168 10839.2557142857
"3351" "恶性肿瘤（癌症）" 1813616.69 988671.71 79 22957.1732911392
"3076" "急性前列腺炎" 1812903.44 1303327.94 634 2859.46914826498
"8751" "退变性关节炎" 1809275.17 1299542.85 353 5125.42541076487
"9630" "骨折病" 1794544.06 1200196.43 153 11729.0461437909
"844" "关节痛" 1792620.28 1227564.76 171 10483.1595321637
"3618" "慢性阻塞性肺病伴有急性加重 NOS" 1790852.69 1345557.44 344 5205.96712209302
"5686" "糖尿病性冠心病" 1790242.45 1344946.3 352 5085.91605113636
"3904" "支气管哮喘，危重" 1771470.72 1257556.37 152 11654.4126315789
"7769" "腹痛病" 1770190.31 1233285.21 368 4810.29975543478
"2072" "多发性骨髓瘤" 1765495.5 1050212.96 58 30439.5775862069
"3909" "支气管或肺恶性肿瘤 NOS" 1763607 1232793.39 148 11916.2635135135
"1960" "外痔" 1724939.21 1150093.16 281 6138.57370106762
"2690" "尿道结石" 1721239.47 1078735.68 413 4167.65004842615
"9586" "食道中上段恶性肿瘤" 1713763.03 1222321.31 96 17851.6982291667
"9689" "骨髓瘤病" 1711823.31 1091720.81 103 16619.6437864078
"6350" "肝硬化失代偿期" 1710117.21 1047723.44 85 20119.026
"9587" "食道中下段恶性肿瘤" 1704967.93 1158714.97 99 17221.8982828283
"8523" "跟骨骨折" 1703175.11 1053232.92 154 11059.5786363636
"2970" "心绞痛" 1700058 1145167.57 171 9941.85964912281
"4635" "特指急性胃炎" 1698041.63 1157899.44 431 3939.77176334107
"2982" "心肌梗死后综合征" 1685664.93 1179941.03 45 37459.2206666667
"9804" "高血压2级" 1685634.82 1215977.16 314 5368.26375796178
"7588" "腓骨骨折" 1680800.09 1014619.39 151 11131.1264238411
"7071" "胆管结石" 1675995.59 1058830.39 154 10883.0882467532
"2658" "尿潴留" 1669391.37 1141414.33 271 6160.11575645757
"895" "其他特指的肝癌" 1657901.02 1181222.16 162 10233.9569135802
"4140" "椎间盘脱出" 1652745.92 1139020.7 416 3972.94692307692
"7388" "脑卒中" 1640801.55 1230722.37 114 14392.9960526316
"3009" "心脏病 NOS" 1636859.47 1159562.08 177 9247.79361581921
"8220" "血尿" 1636509.62 1091777.18 201 8141.83890547264
"7676" "腰椎管狭窄" 1633428.6 1044449.4 119 13726.2907563025
"2181" "大面积脑梗死" 1623639.7 966445.41 103 15763.4922330097
"2389" "子宫恶性肿瘤" 1590721.46 1059214.2 82 19399.042195122
"3431" "慢性前列腺炎" 1583019.54 1098969.29 460 3441.34682608696
"4825" "甲状腺恶性肿瘤" 1543831.6 995379.62 97 15915.7896907217
"7674" "腰椎滑脱" 1541038.9 886036.26 69 22333.8971014493
"5629" "粘连性肩周炎" 1538935.7 1125582.1 422 3646.76706161137
"1997" "外踝骨折" 1538247.29 1012873.44 132 11653.3885606061
"4998" "癌病 (C80)" 1537904.15 787267.76 143 10754.5744755245
"6307" "肝占位性病变" 1533746.22 932421.14 79 19414.5091139241
"4923" "病毒性肺炎" 1532079.04 1113796.93 353 4340.16725212465
"7172" "胰腺恶性肿瘤 NOS" 1531207.84 1116029.66 78 19630.8697435897
"1518" "取除骨折内固定装置" 1510569.52 920278.63 224 6743.61392857143
"719" "便秘" 1500903.06 1055516.64 151 9939.75536423841
"6331" "肝炎" 1498608.5 1009210.64 167 8973.70359281437
"4087" "梅尼埃病[美尼尔氏病、内淋巴[迷路]积水" 1490035.71 1049772 485 3072.23857731959
"324" "不完全性肠梗阻" 1485976.27 1026979.54 174 8540.09350574713
"4853" "甲状腺肿瘤" 1485388.94 838772.88 98 15157.03
"9906" "鼻出血(鼻衄)" 1484282.77 944504.85 387 3835.35599483204
"7683" "腰椎间盘变性" 1481713.19 818002.29 119 12451.3713445378
"1006" "出血" 1477186.69 932760.45 85 17378.6669411765
"1658" "呼吸衰竭" 1473785.58 1044299 57 25855.8873684211
"6820" "肾病综合征" 1472182.76 1015938.31 141 10441.0124822695
"3110" "急性咽喉炎" 1471505.53 985867.7 538 2735.14039033457
"6727" "肺继发恶性肿瘤" 1463966.82 1139471.57 66 22181.3154545455
"9905" "鼻出血" 1452456.96 937768.15 273 5320.35516483516
"2932" "心动过速" 1438302.28 949730.07 163 8823.94036809816
"3995" "晕厥" 1434060.72 1036713.69 264 5432.04818181818
"4248" "泌尿系结石" 1431881.06 803045.13 153 9358.69973856209
"8221" "血尿 NOS" 1430726.77 986731.72 236 6062.40156779661
"7487" "脑萎缩" 1409926.72 1023378.43 207 6811.24019323671
"2986" "心肌病" 1407346.73 1010440 140 10052.4766428571
"5443" "短暂性脑缺血发作" 1404593.72 1040190.76 232 6054.28327586207
"7298" "脂肪肝" 1391975.82 908007.8 198 7030.18090909091
"3134" "急性女性盆腔炎" 1391315.11 919934.82 561 2480.06258467023
"1113" "前列腺癌病" 1389145.02 854287.22 87 15967.184137931
"914" "其他脊椎病" 1387979.94 904244.79 204 6803.82323529412
"5901" "结肠肿瘤" 1377409.38 843509.08 65 21190.9135384615
"1108" "前列腺炎 NOS" 1371968.33 939085.77 426 3220.5829342723
"7913" "膀胱癌病" 1368105.88 852041.52 57 24001.8575438596
"6052" "老年性膝关节炎(病)" 1365364.52 991961.53 215 6350.53265116279
"9181" "面神经炎" 1362379.34 999775.29 270 5045.84940740741
"5721" "系统性红斑狼疮" 1354816.4 875501.43 141 9608.62695035461
"9880" "黄疸" 1347120.05 895450.62 52 25906.1548076923
"26" "2型糖尿病性植物神经病变" 1346543.94 852308.04 81 16623.9992592593
"6730" "肺肿瘤" 1342621 815417.33 67 20039.1194029851
"1310" "升结肠恶性肿瘤" 1334953.58 760147.15 49 27243.9506122449
"6343" "肝癌切除个人史" 1330492.58 926261.69 129 10313.8959689922
"3082" "急性化脓性扁桃体炎" 1329124.12 858294.27 503 2642.39387673956
"9090" "隐性冠心病(无症状性冠心病)" 1328988.61 974444.27 269 4940.47810408922
"5027" "白内障超乳手术+人工晶体植入" 1312624.17 674434.98 211 6220.96763033175
"6658" "肺气肿 NOS" 1312302.13 978635.8 249 5270.28967871486
"6365" "肝纤维化伴有肝硬化" 1310189.91 939009.92 151 8676.75437086093
"4086" "梅尼埃病" 1304064.58 968813.16 365 3572.77967123288
"2981" "心肌梗死后心绞痛" 1303518.58 949003.28 40 32587.9645
"9924" "鼻咽恶性肿瘤 NOS" 1302789.3 898404.68 81 16083.8185185185
"8573" "身体体表60～69％烧伤" 1302409.3 2e+05 1 1302409.3
"9510" "风湿性心脏病(RHD)" 1301368.37 928193.45 193 6742.84129533679
"7479" "脑膜瘤" 1292356.71 718556.02 31 41688.9261290323
"8821" "银屑病" 1292019.56 889679.46 147 8789.24870748299
"1120" "前列腺肥大(增生)" 1290057.45 880598.4 229 5633.43864628821
"6335" "肝炎后肝硬变" 1289566.72 848717.45 186 6933.15440860215
"4849" "甲状腺肿" 1288425.41 840238.87 89 14476.69
"9179" "面瘫病" 1279497.1 946307.5 175 7311.412
